TEAM	MATCH_UP	GAME_DATE	W/L	MIN	OFFRTG	DEFRTG	NETRTG	AST%	AST/TO	ASTRAT	OREB%	DREB%	REB%	TOV%	EFG%	TS%	PACE	PIE
DAL	DAL @ DEN	12/06/2022	W	48	118.4	117.3	1.0	75.0	1.59	20.5	18.4	76.2	48.8	17.3	61.8	67.7	98.00	50.3
DEN	DEN vs. DAL	12/06/2022	L	48	117.3	118.4	-1.0	75.0	1.76	22.1	23.8	81.6	51.3	17.3	59.6	63.7	98.00	49.7
CLE	CLE vs. LAL	12/06/2022	W	48	117.2	103.0	14.1	52.1	3.13	18.5	26.7	68.5	49.5	8.1	55.4	57.7	99.00	60.1
MIA	MIA vs. DET	12/06/2022	L	48	100.0	122.1	-22.1	63.6	1.40	16.4	23.9	73.9	48.9	15.6	49.4	54.3	95.50	41.7
LAL	LAL @ CLE	12/06/2022	L	48	103.0	117.2	-14.1	42.1	1.00	12.1	31.5	73.3	50.5	16.2	46.1	51.2	99.00	39.9
DET	DET @ MIA	12/06/2022	W	48	122.1	100.0	22.1	62.8	2.08	20.1	26.1	76.1	51.1	13.7	60.3	62.0	95.50	58.3
MIL	MIL @ ORL	12/05/2022	W	48	104.8	100.0	4.8	81.6	1.82	21.2	20.8	70.0	46.9	16.3	52.4	56.5	103.00	55.7
CHA	CHA vs. LAC	12/05/2022	L	48	119.4	120.2	-0.8	61.7	2.90	20.4	29.6	67.3	48.1	10.2	54.1	55.5	98.50	50.7
MIA	MIA @ MEM	12/05/2022	L	48	96.9	106.3	-9.4	74.2	1.35	17.6	24.0	79.2	51.0	17.7	48.1	52.4	95.50	45.3
ATL	ATL vs. OKC	12/05/2022	L	48	104.6	112.0	-7.4	54.5	1.33	15.7	35.6	71.2	52.3	16.5	49.5	52.1	108.50	44.6
PHI	PHI @ HOU	12/05/2022	L	58	110.8	118.9	-8.1	59.0	1.15	15.4	28.3	53.6	41.3	18.0	54.6	59.8	91.86	46.6
OKC	OKC @ ATL	12/05/2022	W	48	112.0	104.6	7.4	58.1	1.56	16.9	28.8	64.4	47.7	14.8	51.6	57.3	108.50	55.4
DAL	DAL vs. PHX	12/05/2022	W	48	135.4	113.3	22.2	52.3	1.77	17.7	27.5	61.1	46.8	13.5	64.3	68.1	97.00	56.1
TOR	TOR vs. BOS	12/05/2022	L	48	112.2	118.4	-6.1	48.7	1.46	14.4	29.4	73.5	51.0	13.3	51.8	56.0	98.00	45.6
IND	IND @ GSW	12/05/2022	W	48	112.0	104.0	8.0	60.5	1.53	18.3	30.8	73.3	53.6	17.0	56.1	57.2	100.00	52.8
LAC	LAC @ CHA	12/05/2022	W	48	120.2	119.4	0.8	66.7	2.50	20.8	32.7	70.4	51.9	12.1	56.5	58.2	98.50	49.3
ORL	ORL vs. MIL	12/05/2022	L	48	100.0	104.8	-4.8	61.8	1.50	14.9	30.0	79.2	53.1	13.7	40.9	48.2	103.00	44.3
GSW	GSW vs. IND	12/05/2022	L	48	104.0	112.0	-8.0	68.4	2.17	18.3	26.7	69.2	46.4	12.0	47.3	50.8	100.00	47.2
MEM	MEM vs. MIA	12/05/2022	W	48	106.3	96.9	9.4	54.8	1.92	18.0	20.8	76.0	49.0	12.6	51.1	53.7	95.50	54.7
HOU	HOU vs. PHI	12/05/2022	W	58	118.9	110.8	8.1	45.2	0.90	12.3	46.4	71.7	58.7	18.9	52.1	58.2	91.86	53.4
PHX	PHX @ DAL	12/05/2022	L	48	113.3	135.4	-22.2	70.0	2.15	19.2	38.9	72.5	53.2	13.3	51.1	54.2	97.00	43.9
BOS	BOS @ TOR	12/05/2022	W	48	118.4	112.2	6.1	61.4	2.45	19.6	26.5	70.6	49.0	11.2	56.1	58.4	98.00	54.4
CLE	CLE @ NYK	12/04/2022	L	48	81.8	92.9	-11.1	58.6	0.89	13.1	25.0	64.2	44.0	19.2	39.8	44.1	99.00	41.2
NOP	NOP vs. DEN	12/04/2022	W	48	119.8	106.0	13.8	70.7	2.64	21.2	15.2	72.1	42.7	10.9	57.4	62.5	100.50	56.8
BKN	BKN vs. BOS	12/04/2022	L	48	95.8	105.1	-9.3	50.0	1.13	13.5	24.1	74.5	47.5	15.6	45.8	49.1	97.00	41.3
IND	IND @ POR	12/04/2022	L	48	102.0	117.2	-15.1	55.0	1.47	16.5	26.9	70.2	47.5	15.3	49.5	51.9	98.50	41.6
SAC	SAC vs. CHI	12/04/2022	W	48	106.8	98.1	8.7	75.0	1.58	21.0	23.4	84.0	54.6	18.4	54.1	58.3	103.00	57.4
LAL	LAL @ WAS	12/04/2022	W	48	121.5	110.2	11.3	65.4	2.27	22.2	25.0	74.1	51.9	14.0	59.4	61.5	107.50	57.6
DET	DET vs. MEM	12/04/2022	L	48	108.7	119.6	-10.9	70.3	1.73	18.3	26.0	68.6	47.5	14.6	51.8	57.6	102.50	45.8
POR	POR vs. IND	12/04/2022	W	48	117.2	102.0	15.1	76.2	2.13	22.2	29.8	73.1	52.5	15.2	58.7	60.6	98.50	58.4
BOS	BOS @ BKN	12/04/2022	W	48	105.1	95.8	9.3	51.4	1.06	14.2	25.5	75.9	52.5	17.3	52.5	57.3	97.00	58.7
NYK	NYK vs. CLE	12/04/2022	W	48	92.9	81.8	11.1	48.6	0.81	12.6	35.8	75.0	56.0	21.2	43.6	48.3	99.00	58.8
WAS	WAS vs. LAL	12/04/2022	L	48	110.2	121.5	-11.3	49.0	2.40	16.3	25.9	75.0	48.1	9.3	51.4	53.3	107.50	42.4
CHI	CHI @ SAC	12/04/2022	L	48	98.1	106.8	-8.7	44.7	1.06	13.3	16.0	76.6	45.4	15.5	49.4	53.5	103.00	42.6
MEM	MEM @ DET	12/04/2022	W	48	119.6	108.7	10.9	65.1	2.00	19.2	31.4	74.0	52.5	13.7	54.9	58.2	102.50	54.2
PHX	PHX @ SAS	12/04/2022	W	48	134.3	96.0	38.4	77.6	3.45	24.8	35.4	68.0	52.0	11.1	62.2	64.7	99.00	70.3
DEN	DEN @ NOP	12/04/2022	L	48	106.0	119.8	-13.8	58.5	1.26	17.8	27.9	84.8	57.3	19.0	55.6	57.9	100.50	43.2
SAS	SAS vs. PHX	12/04/2022	L	48	96.0	134.3	-38.4	50.0	1.00	14.3	32.0	64.6	48.0	19.2	47.1	50.0	99.00	29.7
HOU	HOU @ GSW	12/03/2022	L	48	103.1	125.0	-21.9	42.5	1.13	12.8	34.6	83.7	56.8	15.3	45.6	50.6	97.00	41.9
GSW	GSW vs. HOU	12/03/2022	W	48	125.0	103.1	21.9	75.6	2.43	24.8	16.3	65.4	43.2	14.6	67.6	67.1	97.00	58.1
NYK	NYK vs. DAL	12/03/2022	L	48	99.0	117.5	-18.5	51.4	0.90	14.1	19.1	71.2	48.1	19.8	51.9	56.0	102.00	42.2
ORL	ORL @ TOR	12/03/2022	L	48	109.1	123.5	-14.4	60.5	1.44	17.4	24.4	65.0	44.4	16.2	55.8	60.4	98.50	42.3
DAL	DAL @ NYK	12/03/2022	W	48	117.5	99.0	18.5	62.8	2.45	18.5	28.8	80.9	51.9	10.7	55.0	57.0	102.00	57.8
CHA	CHA vs. MIL	12/03/2022	L	48	91.4	100.0	-8.6	44.1	1.07	11.5	20.4	78.3	47.0	13.3	42.0	48.8	105.00	43.5
