TEAM	MATCH_UP	GAME_DATE	W_L	MIN	PTS	FGM	FGA	FG	3PM	3PA	3P	FTM	FTA	FT	OREB	DREB	REB	AST	TOV	STL	BLK	PF	+/-
LAC	LAC @ MIA	12/08/2022	L	48	110	37	80	46.3	17	36	47.2	19	21	90.5	7	36	43	24	16	3	3	16	-5
SAS	SAS vs. HOU	12/08/2022	W	48	118	46	83	55.4	13	36	36.1	13	15	86.7	7	31	38	25	17	5	7	19	9
POR	POR vs. DEN	12/08/2022	L	48	120	44	91	48.4	16	40	40.0	16	16	100	13	25	38	30	13	10	3	20	-1
DEN	DEN @ POR	12/08/2022	W	48	121	47	91	51.6	12	30	40.0	15	22	68.2	16	32	48	28	16	6	5	16	1
HOU	HOU @ SAS	12/08/2022	L	48	109	44	98	44.9	10	29	34.5	11	15	73.3	16	26	42	23	14	3	4	19	-9
MIA	MIA vs. LAC	12/08/2022	W	48	115	46	90	51.1	12	32	37.5	11	14	78.6	7	36	43	24	8	11	1	20	5
DET	DET @ NOP	12/07/2022	L	48	98	35	90	38.9	15	42	35.7	13	16	81.3	8	34	42	17	13	5	1	23	-6
WAS	WAS @ CHI	12/07/2022	L	48	111	41	84	48.8	9	31	29.0	20	29	69.0	6	32	38	22	18	12	6	16	-4
BKN	BKN vs. CHA	12/07/2022	W	48	122	49	86	57.0	12	31	38.7	12	16	75.0	5	34	39	33	11	3	8	20	6
IND	IND @ MIN	12/07/2022	L	48	115	39	81	48.1	19	42	45.2	18	24	75.0	4	27	31	22	19	10	4	17	-6
CHA	CHA @ BKN	12/07/2022	L	48	116	47	88	53.4	10	24	41.7	12	23	52.2	10	30	40	25	11	4	3	18	-6
MIL	MIL vs. SAC	12/07/2022	W	48	126	46	96	47.9	14	33	42.4	20	24	83.3	17	33	50	34	7	3	2	15	13
GSW	GSW @ UTA	12/07/2022	L	48	123	45	98	45.9	14	42	33.3	19	25	76.0	14	28	42	26	14	8	5	18	-1
OKC	OKC @ MEM	12/07/2022	L	48	102	34	92	37.0	14	38	36.8	20	23	87.0	14	34	48	25	19	9	3	16	-21
TOR	TOR vs. LAL	12/07/2022	W	48	126	47	106	44.3	12	43	27.9	20	24	83.3	17	37	54	25	11	10	5	22	13
MIN	MIN vs. IND	12/07/2022	W	48	121	44	93	47.3	8	23	34.8	25	27	92.6	16	35	51	25	23	15	2	21	6
BOS	BOS @ PHX	12/07/2022	W	48	125	49	101	48.5	16	45	35.6	11	13	84.6	11	42	53	29	13	14	3	20	27
UTA	UTA vs. GSW	12/07/2022	W	48	124	46	86	53.5	15	35	42.9	17	21	81.0	9	31	40	26	17	6	7	17	1
LAC	LAC @ ORL	12/07/2022	L	53	111	39	95	41.1	15	41	36.6	18	26	69.2	17	36	53	26	17	3	9	19	-5
NYK	NYK vs. ATL	12/07/2022	W	48	113	37	83	44.6	17	36	47.2	22	24	91.7	13	42	55	26	14	6	2	23	24
NOP	NOP vs. DET	12/07/2022	W	48	104	39	85	45.9	8	27	29.6	18	23	78.3	10	40	50	21	19	8	9	21	6
SAC	SAC @ MIL	12/07/2022	L	48	113	43	91	47.3	12	38	31.6	15	16	93.8	8	32	40	19	8	2	4	17	-13
LAL	LAL @ TOR	12/07/2022	L	48	113	37	87	42.5	7	33	21.2	32	35	91.4	10	36	46	16	15	6	3	17	-13
