TEAM	MATCH UP	GAME DATE	W/L	MIN	EFG%	FTR	TOV%	OREB%	OPPEFG%	OPPFTR	OPPTOV%	OPPOREB%
ATL	ATL @ NYK	12/07/2022	L	48	41.2	0.282	11.8	24.1	54.8	0.289	14.9	33.3
LAL	LAL @ TOR	12/07/2022	L	48	46.6	0.402	14.0	23.5	50.0	0.226	10.2	37.1
MIN	MIN vs. IND	12/07/2022	W	48	51.6	0.290	21.7	44.9	59.9	0.296	18.1	15.6
ORL	ORL vs. LAC	12/07/2022	W	53	46.3	0.326	12.6	33.3	48.9	0.274	16.3	37.1
LAC	LAC @ ORL	12/07/2022	L	53	48.9	0.274	16.3	37.1	46.3	0.326	12.6	33.3
DET	DET @ NOP	12/07/2022	L	48	47.2	0.178	13.0	22.8	50.6	0.271	19.2	28.6
TOR	TOR vs. LAL	12/07/2022	W	48	50.0	0.226	10.2	37.1	46.6	0.402	14.0	23.5
CHA	CHA @ BKN	12/07/2022	L	48	59.1	0.261	11.3	26.1	64.0	0.186	11.3	20.5
BKN	BKN vs. CHA	12/07/2022	W	48	64.0	0.186	11.3	20.5	59.1	0.261	11.3	26.1
SAC	SAC @ MIL	12/07/2022	L	48	53.8	0.176	8.3	20.4	55.2	0.250	7.3	37.7
WAS	WAS @ CHI	12/07/2022	L	48	54.2	0.345	17.0	21.7	55.6	0.189	17.8	23.9
GSW	GSW @ UTA	12/07/2022	L	48	53.1	0.255	13.5	36.4	62.2	0.244	16.5	26.8
BOS	BOS @ PHX	12/07/2022	W	48	56.4	0.129	12.3	28.3	44.1	0.204	17.0	27.6
NOP	NOP vs. DET	12/07/2022	W	48	50.6	0.271	19.2	28.6	47.2	0.178	13.0	22.8
PHX	PHX vs. BOS	12/07/2022	L	48	44.1	0.204	17.0	27.6	56.4	0.129	12.3	28.3
UTA	UTA vs. GSW	12/07/2022	W	48	62.2	0.244	16.5	26.8	53.1	0.255	13.5	36.4
CHI	CHI vs. WAS	12/07/2022	W	48	55.6	0.189	17.8	23.9	54.2	0.345	17.0	21.7
MIL	MIL vs. SAC	12/07/2022	W	48	55.2	0.250	7.3	37.7	53.8	0.176	8.3	20.4
NYK	NYK vs. ATL	12/07/2022	W	48	54.8	0.289	14.9	33.3	41.2	0.282	11.8	24.1
IND	IND @ MIN	12/07/2022	L	48	59.9	0.296	18.1	15.6	51.6	0.290	21.7	44.9
MEM	MEM vs. OKC	12/07/2022	W	48	58.5	0.170	16.2	27.1	44.6	0.250	18.1	31.1
OKC	OKC @ MEM	12/07/2022	L	48	44.6	0.250	18.1	31.1	58.5	0.170	16.2	27.1
LAL	LAL @ CLE	12/06/2022	L	48	46.1	0.270	16.2	31.5	55.4	0.183	8.1	26.7
DEN	DEN vs. DAL	12/06/2022	L	48	59.6	0.359	17.3	23.8	61.8	0.431	17.3	18.4
CLE	CLE vs. LAL	12/06/2022	W	48	55.4	0.183	8.1	26.7	46.1	0.270	16.2	31.5
DAL	DAL @ DEN	12/06/2022	W	48	61.8	0.431	17.3	18.4	59.6	0.359	17.3	23.8
MIA	MIA vs. DET	12/06/2022	L	48	49.4	0.338	15.6	23.9	60.3	0.172	13.7	26.1
DET	DET @ MIA	12/06/2022	W	48	60.3	0.172	13.7	26.1	49.4	0.338	15.6	23.9
HOU	HOU vs. PHI	12/05/2022	W	58	52.1	0.468	18.9	46.4	54.6	0.414	18.0	28.3
IND	IND @ GSW	12/05/2022	W	48	56.1	0.200	17.0	30.8	47.3	0.202	12.0	26.7
PHX	PHX @ DAL	12/05/2022	L	48	51.1	0.286	13.3	38.9	64.3	0.310	13.5	27.5
CHA	CHA vs. LAC	12/05/2022	L	48	54.1	0.173	10.2	29.6	56.5	0.226	12.1	32.7
GSW	GSW vs. IND	12/05/2022	L	48	47.3	0.202	12.0	26.7	56.1	0.200	17.0	30.8
MIL	MIL @ ORL	12/05/2022	W	48	52.4	0.306	16.3	20.8	40.9	0.312	13.7	30.0
DAL	DAL vs. PHX	12/05/2022	W	48	64.3	0.310	13.5	27.5	51.1	0.286	13.3	38.9
MEM	MEM vs. MIA	12/05/2022	W	48	51.1	0.100	12.6	20.8	48.1	0.278	17.7	24.0
LAC	LAC @ CHA	12/05/2022	W	48	56.5	0.226	12.1	32.7	54.1	0.173	10.2	29.6
BOS	BOS @ TOR	12/05/2022	W	48	56.1	0.233	11.2	26.5	51.8	0.353	13.3	29.4
OKC	OKC @ ATL	12/05/2022	W	48	51.6	0.253	14.8	28.8	49.5	0.167	16.5	35.6
PHI	PHI @ HOU	12/05/2022	L	58	54.6	0.414	18.0	28.3	52.1	0.468	18.9	46.4
ORL	ORL vs. MIL	12/05/2022	L	48	40.9	0.312	13.7	30.0	52.4	0.306	16.3	20.8
MIA	MIA @ MEM	12/05/2022	L	48	48.1	0.278	17.7	24.0	51.1	0.100	12.6	20.8
ATL	ATL vs. OKC	12/05/2022	L	48	49.5	0.167	16.5	35.6	51.6	0.253	14.8	28.8
TOR	TOR vs. BOS	12/05/2022	L	48	51.8	0.353	13.3	29.4	56.1	0.233	11.2	26.5
DET	DET vs. MEM	12/04/2022	L	48	51.8	0.357	14.6	26.0	54.9	0.315	13.7	31.4
SAS	SAS vs. PHX	12/04/2022	L	48	47.1	0.207	19.2	32.0	62.2	0.213	11.1	35.4
PHX	PHX @ SAS	12/04/2022	W	48	62.2	0.213	11.1	35.4	47.1	0.207	19.2	32.0
CLE	CLE @ NYK	12/04/2022	L	48	39.8	0.241	19.2	25.0	43.6	0.244	21.2	35.8
IND	IND @ POR	12/04/2022	L	48	49.5	0.132	15.3	26.9	58.7	0.256	15.2	29.8
NOP	NOP vs. DEN	12/04/2022	W	48	57.4	0.444	10.9	15.2	55.6	0.296	19.0	27.9
NYK	NYK vs. CLE	12/04/2022	W	48	43.6	0.244	21.2	35.8	39.8	0.241	19.2	25.0
WAS	WAS vs. LAL	12/04/2022	L	48	51.4	0.143	9.3	25.9	59.4	0.229	14.0	25.0
BKN	BKN vs. BOS	12/04/2022	L	48	45.8	0.262	15.6	24.1	52.5	0.247	17.3	25.5
POR	POR vs. IND	12/04/2022	W	48	58.7	0.256	15.2	29.8	49.5	0.132	15.3	26.9
BOS	BOS @ BKN	12/04/2022	W	48	52.5	0.247	17.3	25.5	45.8	0.262	15.6	24.1
SAC	SAC vs. CHI	12/04/2022	W	48	54.1	0.221	18.4	23.4	49.4	0.221	15.5	16.0
LAL	LAL @ WAS	12/04/2022	W	48	59.4	0.229	14.0	25.0	51.4	0.143	9.3	25.9
